Distance_(pixels),Gray_Value
0,27982.748
1,27975.438
2,27930.242
3,27834.475
4,27903.061
5,28239.619
6,28346.070
7,28241.125
8,28378.400
9,28501.068
10,28414.648
11,28225.139
12,28056.301
13,27852.689
14,28007.854
15,28493.121
16,28715.379
17,28489.395
18,28424.299
19,28785.695
20,28960.135
21,28973.523
22,29181.916
23,29449.852
24,29502.615
25,29444.016
26,29340.426
27,29381.383
28,29281.732
29,29195.285
30,29072.461
31,29259.281
32,29428.957
33,29422.369
34,29489.605
35,29569.680
36,29881.242
37,29960.094
38,29721.430
39,29695.057
40,29664.107
41,29655.996
42,29318.070
43,28841.184
44,28811.090
45,28967.516
46,28797.328
47,28490.795
48,28335.047
49,28181.666
50,28044.105
51,28002.834
52,27938.219
53,27870.848
54,28065.188
55,28429.742
56,28136.490
57,27812.840
58,27875.322
59,27622.670
60,27493.807
61,27344.510
62,27314.008
63,27339.586
64,27289.283
