Distance_(pixels),Gray_Value
0,29076.557
1,29195.426
2,29264.443
3,29098.016
4,29103.859
5,29106.402
6,29105.268
7,28774.525
8,28676.230
9,28949.172
10,29047.461
11,29178.521
12,28711.203
13,28649.539
14,29041.203
15,29474.168
16,29821.223
17,30521.273
18,31148.701
19,31469.898
20,31789.160
21,31579.949
22,31610.332
23,31838.166
24,31875.562
25,31613.686
26,31677.936
27,32020.367
28,31647.992
29,31722.939
30,31614.707
31,31648.826
32,31731.479
33,31780.574
34,31691.586
35,31656.846
36,31474.988
37,31309.996
38,30677.172
39,30051.148
40,29308.758
41,28842.654
42,28717.799
43,28693.713
44,28569.551
45,28290.393
46,28332.430
47,28376.773
48,28368.598
49,28607.949
50,28370.494
51,28070.537
52,28197.096
53,28026.428
54,28306.234
55,28389.367
56,28157.340
