Distance_(pixels),Gray_Value
0,27898.734
1,28285.629
2,28289.676
3,27734.705
4,27746.740
5,27739.432
6,27902.234
7,27796.488
8,27699.000
9,27778.242
10,27822.350
11,27894.258
12,27879.266
13,28004.939
14,28065.281
15,27894.400
16,27833.760
17,28172.592
18,28234.637
19,27816.861
20,27680.320
21,27885.582
22,28133.854
23,28278.246
24,28432.174
25,28531.168
26,28433.453
27,28377.715
28,28252.598
29,28312.256
30,28777.510
31,28824.219
32,28864.816
33,29132.227
34,29369.016
35,29127.873
36,28768.570
37,29105.973
38,29281.016
39,29385.992
40,29709.689
41,29527.244
42,29800.824
43,29894.121
44,30008.840
45,30028.945
46,29940.725
47,29636.629
48,29214.312
49,29051.869
50,28800.850
51,28659.627
52,28350.285
53,28277.443
54,28143.812
55,28207.291
56,28118.543
57,28004.742
58,28208.090
59,28217.252
60,28133.773
61,28169.316
62,28132.949
63,27757.783
64,27398.607
65,27469.484
66,27418.951
67,27495.750
68,27637.986
69,27501.307
70,27392.355
71,27540.668
72,27496.748
73,27511.018
74,27749.793
75,27700.279
76,27831.598
77,27935.875
78,28066.650
79,27955.947
