Distance_(pixels),Gray_Value
0,28972.918
1,28942.340
2,28880.281
3,28821.938
4,28725.664
5,28472.496
6,28624.906
7,28819.971
8,29029.945
9,29188.508
10,29407.652
11,29773.660
12,30295.625
13,30961.793
14,31224.730
15,31358.900
16,31734.289
17,31878.953
18,31712.262
19,31838.041
20,31899.531
21,31561.055
22,31558.814
23,31744.238
24,31804.832
25,31768.465
26,31565.828
27,31496.568
28,31675.074
29,31919.336
30,31568.734
31,31380.939
32,31403.834
33,31095.670
34,30463.668
35,29753.020
36,29254.074
37,29085.543
38,28907.365
39,28755.023
40,28741.994
41,28748.320
42,28688.254
43,28441.799
44,28451.332
45,28680.285
46,28642.883
47,28685.518
48,28690.000
