Distance_(pixels),Gray_Value
0,27773.162
1,27616.484
2,27737.027
3,27973.809
4,27894.916
5,27821.225
6,27930.459
7,27920.938
8,27821.951
9,27809.854
10,27972.871
11,28125.803
12,28137.895
13,28169.471
14,27984.531
15,27924.406
16,27876.281
17,27685.955
18,27761.027
19,27886.172
20,27747.984
21,27802.230
22,27749.734
23,27920.008
24,27996.416
25,28086.426
26,28243.850
27,28431.619
28,28642.646
29,28838.266
30,28963.387
31,28991.271
32,29029.623
33,29088.328
34,29462.387
35,29361.289
36,29257.441
37,29443.150
38,29446.471
39,29348.285
40,29399.637
41,29301.238
42,29430.949
43,29639.865
44,29611.650
45,29215.422
46,28757.730
47,28924.965
48,28772.691
49,28650.896
50,28700.914
51,28499.594
52,28125.367
53,28068.611
54,27943.135
55,27841.957
56,27697.168
57,27839.342
58,27865.746
59,27826.924
60,27954.604
61,27935.680
62,27826.984
63,27729.352
64,27768.826
65,27828.637
66,27917.133
67,27543.387
68,27447.605
69,27744.201
70,27684.418
71,27798.391
72,27769.570
73,27727.566
74,27815.863
75,27702.588
76,27592.172
77,27657.914
